ID,Nome_Clube,Cidade_Estado,Contato_Principal,Telefone,Email,Site,Data_Contato,Status_Contato,Data_Conversa,Duracao_Min,Sistema_Atual,Custo_Atual_RS,Num_Associados,Principal_Dor,Interesse_1a10,Funcionalidade_Prioridade,Preco_Aceitavel_RS,Timing_Implementacao,Quem_Decide,Interesse_Piloto,Proximos_Passos,Observacoes
1,Clube 5.56,São Paulo/SP,,11-97446-0556,contato@clube556.com.br,clube556.com.br,,Pendente,,,,,,,,,,,,,,
2,Tactical Shoot Clube,Botucatu/SP,,14-3813-1749,clubedetiro@grupotatical.com.br,tsct.com.br,,Pendente,,,,,,,,,,,,,,
3,SK Clube de Tiro,Curitiba/PR,,41-3345-3732,sac@skclube.com.br,skclube.com.br,,Pendente,,,,,,,,,,,,,,
4,FTERJ,Rio de Janeiro/RJ,,21-2283-2571,secretaria@fterj.org.br,fterj.org.br,,Pendente,,,,,,,,,,,,,,
5,Clube Tiro Liberdade,Nova Lima/MG,,31-3665-9182,contato@clubedetiroliberdade.com.br,clubedetiroliberdade.com.br,,Pendente,,,,,,,,,,,,,,
6,Clube Tiro Paraminense,Pará de Minas/MG,,,contato@clubedetiroparaminense.com.br,,,Pendente,,,,,,,,,,,,,,
7,Hunter Academia Tiro,Portão/RS,,51-99780-6414,contato@clubehunter.com.br,clubehunter.com.br,,Pendente,,,,,,,,,,,,,,
8,Ares Base Treinamento,Campina Grande Sul/PR,,41-98807-4935,contato@aresbt.com.br,aresbt.com.br,,Pendente,,,,,,,,,,,,,,
9,Ironside Academy,Macaíba/RN,,84-99174-1274,,ironsideacademy.com,,Pendente,,,,,,,,,,,,,,
10,CBTE,Nacional,,,,cbte.org.br,,Pendente,,,,,,,,,,,,,,
11,CBTP,Belo Horizonte/MG,,31-3347-4538,,,,,Pendente,,,,,,,,,,,,,,
